Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000131876	SNRPA1	16.0	19.0	91.0	19.0	18.0	24.0	41.0	20.0	23.0	26.0	8.0	10.0	9.0	27.0	68.0	26.0	4.0	35.0	26.0	31.0	12.0	5.0	29.0	25.0	48.0	20.0	46.0	31.0	43.0	16.0	47.0	31.0
ENSG00000132792	CTNNBL1	25.0	21.0	38.0	33.0	24.0	23.0	49.0	29.0	44.0	34.0	17.0	20.0	23.0	41.0	58.0	44.0	4.0	35.0	35.0	27.0	12.0	8.0	24.0	44.0	88.0	36.0	70.0	34.0	51.0	30.0	43.0	30.0
ENSG00000133226	SRRM1	34.0	45.0	72.0	51.0	29.0	37.0	132.0	37.0	79.0	47.0	20.0	20.0	18.0	57.0	74.0	135.0	8.0	66.0	102.0	38.0	25.0	20.0	41.0	51.0	80.0	33.0	76.0	63.0	45.0	40.0	56.0	58.0
ENSG00000134453	RBM17	45.0	40.0	83.0	53.0	41.0	41.0	100.0	35.0	70.0	55.0	18.0	27.0	19.0	71.0	85.0	67.0	9.0	73.0	48.0	49.0	17.0	19.0	48.0	58.0	80.0	34.0	62.0	58.0	55.0	46.0	71.0	46.0
ENSG00000134748	PRPF38A	22.0	29.0	55.0	44.0	37.0	27.0	76.0	31.0	57.0	34.0	10.0	22.0	13.0	45.0	69.0	73.0	5.0	43.0	44.0	38.0	14.0	5.0	34.0	41.0	46.0	26.0	47.0	58.0	48.0	32.0	49.0	39.0
ENSG00000135486	HNRNPA1	167.0	230.0	651.0	142.0	231.0	223.0	598.0	187.0	406.0	235.0	78.0	146.0	63.0	243.0	560.0	1039.0	43.0	343.0	265.0	277.0	104.0	48.0	235.0	314.0	347.0	232.0	156.0	295.0	448.0	274.0	406.0	255.0
ENSG00000135829	DHX9	71.0	88.0	247.0	110.0	96.0	67.0	186.0	90.0	154.0	119.0	31.0	86.0	36.0	116.0	172.0	177.0	16.0	124.0	108.0	119.0	41.0	15.0	78.0	177.0	123.0	78.0	170.0	187.0	166.0	109.0	151.0	89.0
ENSG00000136450	SRSF1	47.0	88.0	53.0	60.0	77.0	67.0	117.0	94.0	89.0	103.0	27.0	37.0	36.0	78.0	165.0	64.0	12.0	95.0	82.0	105.0	33.0	9.0	65.0	93.0	79.0	50.0	59.0	119.0	167.0	103.0	134.0	79.0
ENSG00000136527	TRA2B	32.0	45.0	177.0	30.0	35.0	29.0	78.0	42.0	53.0	57.0	11.0	23.0	18.0	46.0	84.0	67.0	8.0	63.0	48.0	40.0	19.0	6.0	34.0	54.0	58.0	30.0	51.0	65.0	64.0	43.0	61.0	47.0
ENSG00000136709	WDR33	11.0	14.0	11.0	13.0	12.0	11.0	24.0	13.0	19.0	15.0	6.0	11.0	8.0	17.0	27.0	20.0	3.0	17.0	19.0	14.0	8.0	4.0	13.0	18.0	23.0	11.0	27.0	22.0	20.0	15.0	21.0	21.0
ENSG00000136875	PRPF4	18.0	39.0	24.0	29.0	26.0	21.0	51.0	33.0	43.0	38.0	10.0	26.0	17.0	31.0	44.0	45.0	7.0	40.0	37.0	29.0	15.0	8.0	20.0	41.0	38.0	21.0	40.0	40.0	46.0	35.0	51.0	31.0
ENSG00000136937	NCBP1	21.0	28.0	44.0	45.0	42.0	26.0	44.0	30.0	35.0	40.0	13.0	19.0	18.0	29.0	56.0	39.0	6.0	40.0	35.0	47.0	15.0	7.0	27.0	42.0	36.0	26.0	58.0	58.0	48.0	37.0	46.0	36.0
ENSG00000137168	PPIL1	16.0	87.0	21.0	65.0	27.0	24.0	48.0	37.0	62.0	43.0	44.0	25.0	20.0	26.0	54.0	60.0	6.0	60.0	51.0	38.0	26.0	8.0	24.0	71.0	28.0	26.0	74.0	111.0	57.0	48.0	57.0	20.0
ENSG00000138668	HNRNPD	70.0	78.0	207.0	86.0	79.0	92.0	172.0	74.0	106.0	94.0	27.0	52.0	38.0	95.0	223.0	140.0	15.0	124.0	110.0	94.0	47.0	21.0	97.0	97.0	137.0	89.0	75.0	100.0	169.0	83.0	147.0	112.0
ENSG00000139343	SNRPF	17.0	19.0	35.0	23.0	29.0	19.0	26.0	15.0	21.0	14.0	7.0	18.0	17.0	19.0	35.0	25.0	2.0	28.0	25.0	21.0	8.0	6.0	20.0	22.0	24.0	21.0	23.0	18.0	30.0	14.0	34.0	18.0
ENSG00000140829	DHX38	28.0	26.0	57.0	35.0	29.0	30.0	65.0	34.0	52.0	40.0	15.0	20.0	12.0	47.0	64.0	58.0	6.0	48.0	39.0	33.0	17.0	13.0	32.0	42.0	64.0	29.0	52.0	44.0	42.0	34.0	56.0	54.0
ENSG00000141543	EIF4A3	24.0	85.0	103.0	31.0	41.0	29.0	63.0	57.0	62.0	54.0	13.0	28.0	18.0	39.0	71.0	82.0	7.0	65.0	48.0	43.0	16.0	5.0	30.0	49.0	50.0	27.0	54.0	52.0	72.0	60.0	63.0	49.0
ENSG00000141759	TXNL4A	19.0	24.0	18.0	40.0	24.0	14.0	15.0	18.0	21.0	17.0	9.0	16.0	10.0	21.0	29.0	12.0	7.0	21.0	22.0	18.0	14.0	9.0	16.0	18.0	19.0	18.0	29.0	26.0	21.0	19.0	25.0	22.0
ENSG00000143294	PRCC	27.0	31.0	38.0	48.0	30.0	28.0	58.0	35.0	57.0	40.0	16.0	23.0	11.0	44.0	56.0	47.0	7.0	59.0	40.0	30.0	20.0	15.0	33.0	48.0	57.0	30.0	49.0	58.0	40.0	41.0	48.0	45.0
ENSG00000143368	SF3B4	55.0	55.0	99.0	45.0	58.0	61.0	112.0	71.0	140.0	82.0	22.0	37.0	17.0	86.0	94.0	113.0	11.0	101.0	68.0	70.0	35.0	7.0	69.0	104.0	96.0	53.0	123.0	100.0	96.0	78.0	96.0	105.0
ENSG00000143977	SNRPG	24.0	44.0	49.0	23.0	41.0	26.0	34.0	15.0	22.0	20.0	11.0	41.0	26.0	28.0	55.0	27.0	4.0	51.0	32.0	30.0	17.0	10.0	30.0	26.0	39.0	33.0	34.0	29.0	37.0	21.0	56.0	15.0
ENSG00000144028	SNRNP200	50.0	57.0	132.0	67.0	64.0	57.0	158.0	66.0	136.0	87.0	28.0	48.0	27.0	95.0	134.0	164.0	16.0	108.0	87.0	74.0	47.0	24.0	59.0	105.0	114.0	64.0	134.0	126.0	111.0	79.0	104.0	91.0
ENSG00000144231	POLR2D	14.0	16.0	20.0	29.0	17.0	11.0	20.0	18.0	24.0	17.0	7.0	12.0	12.0	18.0	31.0	31.0	4.0	22.0	20.0	17.0	7.0	10.0	12.0	23.0	23.0	13.0	72.0	21.0	28.0	20.0	25.0	17.0
ENSG00000145216	FIP1L1	6.0	10.0	17.0	14.0	9.0	6.0	17.0	10.0	15.0	12.0	5.0	7.0	5.0	10.0	17.0	21.0	1.0	15.0	10.0	10.0	5.0	2.0	8.0	14.0	14.0	9.0	28.0	17.0	15.0	13.0	12.0	12.0
ENSG00000145833	DDX46	23.0	28.0	28.0	31.0	30.0	24.0	53.0	31.0	35.0	38.0	9.0	25.0	14.0	35.0	56.0	42.0	7.0	35.0	37.0	36.0	13.0	12.0	29.0	40.0	41.0	29.0	39.0	49.0	43.0	33.0	51.0	41.0
ENSG00000147274	RBMX	74.0	86.0	145.0	60.0	79.0	93.0	313.0	81.0	185.0	117.0	37.0	50.0	26.0	110.0	221.0	351.0	14.0	104.0	132.0	116.0	39.0	18.0	94.0	170.0	157.0	85.0	65.0	174.0	172.0	111.0	153.0	112.0
ENSG00000147669	POLR2K	68.0	110.0	66.0	90.0	77.0	46.0	104.0	62.0	74.0	84.0	37.0	74.0	47.0	84.0	97.0	81.0	10.0	83.0	95.0	70.0	34.0	16.0	51.0	72.0	74.0	56.0	60.0	117.0	75.0	90.0	77.0	41.0
ENSG00000149532	CPSF7	46.0	59.0	74.0	63.0	37.0	47.0	160.0	51.0	104.0	72.0	23.0	37.0	25.0	84.0	103.0	128.0	13.0	78.0	76.0	61.0	35.0	22.0	56.0	103.0	92.0	42.0	85.0	106.0	72.0	59.0	77.0	85.0
ENSG00000150316	CWC15	40.0	57.0	84.0	71.0	45.0	37.0	70.0	38.0	56.0	44.0	28.0	47.0	35.0	51.0	79.0	70.0	9.0	70.0	58.0	38.0	33.0	42.0	41.0	47.0	57.0	39.0	119.0	76.0	53.0	47.0	56.0	45.0
ENSG00000153015	CWC27	20.0	23.0	24.0	33.0	22.0	13.0	39.0	21.0	27.0	24.0	13.0	17.0	9.0	19.0	26.0	39.0	3.0	27.0	26.0	23.0	9.0	9.0	17.0	28.0	25.0	14.0	42.0	32.0	28.0	26.0	28.0	21.0
ENSG00000153187	HNRNPU	49.0	71.0	126.0	72.0	54.0	42.0	117.0	48.0	81.0	80.0	20.0	43.0	32.0	72.0	113.0	105.0	10.0	82.0	73.0	65.0	30.0	14.0	49.0	72.0	87.0	50.0	81.0	102.0	90.0	61.0	91.0	60.0
ENSG00000160201	U2AF1			5.0																						0.5						0.6	
ENSG00000160917	CPSF4	20.0	15.0	24.0	19.0	10.0	14.0	25.0	17.0	23.0	17.0	6.0	8.0	4.0	19.0	34.0	23.0	6.0	24.0	19.0	13.0	11.0	7.0	13.0	19.0	24.0	10.0	43.0	21.0	21.0	16.0	21.0	25.0
